ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","532010","Aircraft pilots & flight engineers",2018,"2018","true","true",2321,1182.7935777732446,139365.2210254201,31075.164094884956,32,"aircraft-pilots-flight-engineers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","192099","Other Physical Scientists",2018,"2018","true","true",43349,5110.946443329246,120276.51336824379,9917.420578809828,437,"other-physical-scientists","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","193011","Economists",2018,"2018","true","true",1377,911.0447898103375,162183.8082788671,84131.14024040154,13,"economists","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","19303X","Other psychologists",2018,"2018","true","true",429,508.51384493952065,156701.78321678322,69476.6632978204,6,"other-psychologists","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","492091","Avionics technicians",2018,"2018","true","true",4028,1558.16569703656,67121.39995034756,14292.913321725835,33,"avionics-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","1930XX","Miscellaneous social scientists, including survey researchers & sociologists",2018,"2018","true","true",482,539.0109372510256,170645.887966805,90301.13385561151,7,"miscellaneous-social-scientists-including-survey-researchers-sociologists","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","194010","Agricultural and food science technicians",2018,"2018","true","true",19923,3465.159162782107,50249.98293429704,5745.497478373229,189,"agricultural-and-food-science-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516011","Laundry & drycleaning workers",2018,"2018","true","true",1670,1003.2994372554809,24671.94491017964,6292.540813610652,14,"laundry-drycleaning-workers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","492020","Radio & telecommunications equipment installers & repairers",2018,"2018","true","true",7297,2097.183022006033,59788.857064547075,12256.198543743938,76,"radio-telecommunications-equipment-installers-repairers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","194021","Biological technicians",2018,"2018","true","true",9156,2349.1694903581047,44907.91557448667,7288.342489719511,105,"biological-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","531000-536000","Transportation Occupations","531000","Supervisors of transportation & material moving workers",2018,"2018","true","true",14941,3000.8403428359284,57403.727729067665,5874.39311226079,152,"supervisors-of-transportation-material-moving-workers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","194031","Chemical technicians",2018,"2018","true","true",48773,5421.177695643865,58188.35156746561,3977.0556529524188,467,"chemical-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","492011","Computer, automated teller, & office machine repairers",2018,"2018","true","true",13681,2871.532979918523,51324.127622249835,5215.155083206895,114,"computer-automated-teller-office-machine-repairers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","1940XX","Geological & petroleum technicians, & nuclear technicians",2018,"2018","true","true",5223,1774.3005428414208,80213.89182462187,11838.257085834712,50,"geological-petroleum-technicians-nuclear-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","491011","Firstline supervisors of mechanics, installers, & repairers",2018,"2018","true","true",47375,5342.943118408595,83559.35229551452,5539.217338947054,512,"firstline-supervisors-of-mechanics-installers-repairers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","1940YY","Miscellaneous life, physical, & social science technicians, including social science research assistants",2018,"2018","true","true",11915,2679.8129140909127,60168.652790600085,11024.810002307726,121,"miscellaneous-life-physical-social-science-technicians-including-social-science-research-assistants","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","195010","Occupational health and safety specialists and technicians",2018,"2018","true","true",11981,2687.2241295661665,76789.2353726734,8470.575098388701,134,"occupational-health-and-safety-specialists-and-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","5191XX","Miscellaneous production workers, including semiconductor processors",2018,"2018","true","true",946308,23807.413012434612,39726.99982246795,766.320149098724,8651,"miscellaneous-production-workers-including-semiconductor-processors","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","210000","Community & Social Service Occupations","211029","Social workers, all other",2018,"2018","true","true",385,481.73096627644213,63556.70909090909,78374.25665598997,7,"social-workers-all-other","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","111021","General & operations managers",2018,"2018","true","true",125498,8693.82328404875,123559.43950501204,7092.735328000809,1309,"general-operations-managers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516021","Pressers, textile, garment, & related materials",2018,"2018","true","true",8253,2230.3277810741383,31994.99830364716,4534.12737788678,73,"pressers-textile-garment-related-materials","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
