ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector,ID Industry Sub-Sector,Industry Sub-Sector,Slug Industry Sub-Sector
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","514033","Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",2018,"2018","true","true",1234,862.4432871431029,39499.29173419773,7110.073008239331,8,"grinding-lapping-polishing-and-buffing-machine-tool-setters-operators-and-tenders-metal-and-plastic","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132011","Accountants & auditors",2018,"2018","true","true",75299,6735.3469101802175,65031.37166496235,4692.6553434537545,754,"accountants-auditors","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132020","Property appraisers and assessors",2018,"2018","true","true",656,628.8191012630239,40354.001524390245,17300.76817775702,6,"property-appraisers-and-assessors","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","5120XX","Other assemblers and fabricators",2018,"2018","true","true",7678,2151.234036130381,35456.91794738213,4051.2340923762126,63,"other-assemblers-and-fabricators","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","512041","Structural metal fabricators & fitters",2018,"2018","true","true",987,771.3152204491857,62248.49949341439,42874.98434610806,10,"structural-metal-fabricators-fitters","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132031","Budget analysts",2018,"2018","true","true",2234,1160.414370103904,64469.24977618621,15455.891059640282,19,"budget-analysts","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","512020","Electrical, electronics, & electromechanical assemblers",2018,"2018","true","true",1165,837.9845840862534,49132.16137339056,21120.36412883663,12,"electrical-electronics-electromechanical-assemblers","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","511011","Firstline supervisors of production & operating workers",2018,"2018","true","true",8370,2246.080567756368,62424.67670250896,14847.67841563455,79,"firstline-supervisors-of-production-operating-workers","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132051","Financial analysts",2018,"2018","true","true",2372,1195.7176937588952,69629.40767284992,16473.06953788548,22,"financial-analysts","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","4990XX","Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",2018,"2018","true","true",24050,3807.1270082023625,43119.79767151767,6368.523351063042,230,"miscellaneous-installation-maintenance-repair-workers-including-wind-turbine-service-technicians","Construction","23","construction-23","23","Construction","construction","23","Construction","construction-23"
