ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434199","Information & record clerks, all other",2014,"2014","true","true",8583,2274.4745420875142,42205.377490387975,7844.739621361515,78,"information-record-clerks-all-other","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434181","Reservation & transportation ticket agents & travel clerks",2014,"2014","true","true",2384,1198.73782202098,23885.290687919463,10141.973324389786,18,"reservation-transportation-ticket-agents-travel-clerks","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434171","Receptionists & information clerks",2014,"2014","true","true",86665,7225.417682286854,23182.153302948132,1593.6420851195808,756,"receptionists-information-clerks","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472140","Painters & paperhangers",2014,"2014","true","true",13139,2814.074914152838,25390.479792982722,3592.952683762499,107,"painters-paperhangers","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434161","Human resources assistants, except payroll & timekeeping",2014,"2014","true","true",4338,1617.0105131449077,46925.26164130936,12180.538597825773,37,"human-resources-assistants-except-payroll-timekeeping","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434141","New accounts clerks",2014,"2014","true","true",14382,2944.165530587045,39277.71297455152,6229.337848687364,148,"new-accounts-clerks","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434131","Loan interviewers & clerks",2014,"2014","true","true",107595,8050.166022938243,44896.940034388215,2932.076001665588,988,"loan-interviewers-clerks","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434111","Interviewers, except eligibility & loan",2014,"2014","true","true",1062,800.0836204350311,36849.3879472693,13729.487779053767,10,"interviewers-except-eligibility-loan","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472150","Pipelayers, plumbers, pipefitters, & steamfitters",2014,"2014","true","true",4432,1634.4355526071795,34275.46028880867,5953.434767879953,29,"pipelayers-plumbers-pipefitters-steamfitters","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","434081","Hotel, motel, & resort desk clerks",2014,"2014","true","true",476,535.6455497334351,15632.283613445377,12367.516952060281,5,"hotel-motel-resort-desk-clerks","Finance & Insurance, and Real Estate, Rental & Leasing","52-53","finance-insurance-and-real-estate-rental-leasing"
